vehicle_id,event_time,battery_level
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-16 18:52:15.008,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-17 00:03:44.028,UNKNOWN
fb20e847-d2a1-4583-b874-393c9d1f3db9,2022-01-16 21:43:30.034,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-15 19:07:00.006,UNKNOWN
fb20e847-d2a1-4583-b874-393c9d1f3db9,2022-01-16 06:37:49.037,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-16 01:17:27.009,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-16 01:17:30.013,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-15 19:06:58.035,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-15 00:59:14.002,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-15 06:12:50.015,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-15 01:27:01.018,47.8
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-15 00:17:49.040,UNKNOWN
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,2022-01-13 00:25:55.006,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-14 18:51:15.009,74.9
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-14 19:47:20.030,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-14 19:47:14.027,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-14 17:04:27.027,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-14 17:04:36.034,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-14 17:04:31.027,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-13 22:36:14.027,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-14 07:39:14.034,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-14 02:41:56.033,UNKNOWN
fb20e847-d2a1-4583-b874-393c9d1f3db9,2022-01-14 04:29:42.013,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-13 23:44:07.025,53.3
460a67ab-ee58-4279-b96d-ac56ac029d3e,2022-01-14 01:54:02.009,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-13 23:43:55.036,UNKNOWN
460a67ab-ee58-4279-b96d-ac56ac029d3e,2022-01-13 22:36:32.035,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-13 23:43:48.027,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-13 20:36:23.004,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-13 19:32:20.009,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-13 18:26:17.302,80.0
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-13 16:26:26.016,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-13 15:59:02.001,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-13 16:26:27.004,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-12 13:18:04.027,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-13 04:22:50.033,UNKNOWN
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-13 00:33:03.002,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-12 22:14:41.038,76.0
fb20e847-d2a1-4583-b874-393c9d1f3db9,2022-01-13 00:32:38.018,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-13 00:25:55.015,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-12 17:21:40.211,72.5
460a67ab-ee58-4279-b96d-ac56ac029d3e,2022-01-12 17:21:42.003,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-12 17:21:40.017,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-12 13:18:17.004,UNKNOWN
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,2022-01-11 23:55:04.015,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-12 04:32:35.002,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-12 01:46:37.016,43.1
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-11 23:54:40.027,UNKNOWN
fb20e847-d2a1-4583-b874-393c9d1f3db9,2022-01-11 08:38:14.018,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-11 23:55:01.009,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-11 23:55:03.017,64.7
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,2022-01-11 22:49:50.026,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-11 20:20:17.036,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-11 20:20:16.027,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-11 20:20:13.006,UNKNOWN
d44b765e-d86f-46f8-ba46-8cd913c49285,2022-01-11 18:58:56.007,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-11 17:15:48.021,64.7
9893c80d-f282-46cf-a794-280f0306c936,2022-01-11 17:41:07.011,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-11 17:41:07.011,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-11 14:35:03.018,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-11 14:35:05.008,UNKNOWN
c9c8b7fb-eaa8-4ab5-ba8f-756f15bb8635,2022-01-11 01:44:32.002,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-11 04:30:44.003,39.6
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-11 00:27:24.016,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-11 02:37:42.027,UNKNOWN
fb20e847-d2a1-4583-b874-393c9d1f3db9,2022-01-10 04:50:48.004,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-10 20:56:29.040,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-08 21:35:25.021,62.3
9893c80d-f282-46cf-a794-280f0306c936,2022-01-10 14:44:32.020,UNKNOWN
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-10 04:50:48.040,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-09 21:37:22.025,UNKNOWN
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,2022-01-09 20:11:31.711,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-10 04:26:28.039,UNKNOWN
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-10 01:43:24.011,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-10 01:03:30.018,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-09 17:30:13.031,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-09 21:37:11.027,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-09 21:30:31.631,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-09 03:56:02.027,UNKNOWN
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,2022-01-08 19:26:29.007,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-09 05:40:02.016,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-09 03:56:20.007,UNKNOWN
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-09 00:43:54.020,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-08 22:21:53.013,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-08 21:18:37.022,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-08 22:21:47.009,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-08 19:26:13.009,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-08 19:26:06.018,UNKNOWN
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,2022-01-08 01:12:59.040,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-08 15:52:12.026,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-08 15:52:12.002,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-08 02:07:03.004,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-08 04:48:12.025,74.1
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-08 02:07:04.018,UNKNOWN
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,2022-01-07 23:00:57.003,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-07 21:32:23.027,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-07 18:35:42.017,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-07 16:40:18.009,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-07 16:58:25.002,77.6
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-06 21:29:53.039,UNKNOWN
460a67ab-ee58-4279-b96d-ac56ac029d3e,2022-01-06 02:56:42.047,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-07 01:39:28.009,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-06 03:53:13.018,UNKNOWN
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-06 19:35:13.002,UNKNOWN
